strategy,strategy_name,feature_design,family,allocation_pair,budget_mode,gamma,tau,tcost_one_way,lambda_turnover,effective_trade_penalty,prob_smooth_halflife,n_months,ann_return,ann_vol,sharpe,max_drawdown,cvar_1pct_monthly,final_wealth,benchmark_ann_return,benchmark_ann_vol,benchmark_sharpe,benchmark_max_drawdown,ann_turnover,avg_monthly_turnover,max_monthly_turnover,avg_monthly_tcost_paid,ann_tcost_drag,avg_w_eq,avg_w_bd,avg_w_cash,both_bad_avg_cash,both_bad_avg_eq,both_bad_avg_bd,both_good_avg_eq,both_good_avg_bd,equity_good_only_avg_eq,bond_good_only_avg_bd
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau5__l10p0005__c0p0005__phl3,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau5__l10p0005__c0p0005__phl3,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,3.0,5.0,0.0005,0.0005,0.003,3.0,345,0.054043400304222056,0.10315464331857378,0.5239066179243056,-0.28298644690554253,-0.10368808243190795,455.50167426534995,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.3060869565217392,0.025507246376811597,2.0,1.27536231884058e-05,0.0001530434782608696,0.5166376811594202,0.4833623188405797,1.6975149144631016e-17,1.5139404881252134e-17,0.3972727272727272,0.602727272727273,0.5428758169934641,0.45712418300653596,0.6158878504672897,0.6739682539682538
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau1__l10__c0p0005__phl3,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau1__l10__c0p0005__phl3,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,1.0,1.0,0.0005,0.0,0.0005,3.0,345,0.06504815613108983,0.12418487775562066,0.5238009434538073,-0.2940647628040056,-0.11654600000000001,614.0080752484356,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.8097391304347827,0.06747826086956522,2.0,3.3739130434782614e-05,0.00040486956521739137,0.7743768115942028,0.22562318840579712,1.0659750055277772e-18,2.523234146875356e-18,0.39,0.61,0.8929411764705882,0.10705882352941178,0.885981308411215,0.5688888888888889
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau1__l10__c0p0025__phl3,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau1__l10__c0p0025__phl3,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,3.0,1.0,0.0025,0.0,0.0025,3.0,345,0.054685585454608665,0.10443134238974695,0.5236510821676241,-0.2723087503478011,-0.1048285,461.69952735476124,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.42295652173913045,0.035246376811594204,2.0,8.811594202898552e-05,0.0010573913043478262,0.5613333333333334,0.43866666666666676,4.092941766507597e-18,0.0,0.37545454545454543,0.6245454545454544,0.6122875816993465,0.3877124183006536,0.6519626168224298,0.6514285714285715
z_plus_zsmooth__RF__return_sortino_vs_bond__cash_allowed__g1__tau1__l10__c0p0005__phl0,z_plus_zsmooth__RF__return_sortino_vs_bond__cash_allowed__g1__tau1__l10__c0p0005__phl0,z_plus_zsmooth,RF,return_sortino_vs_bond,cash_allowed,1.0,1.0,0.0005,0.0,0.0005,0.0,345,0.0592125699985262,0.11309253296267874,0.5235763002855964,-0.27003053379475284,-0.10486400000000001,524.2919230666912,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,1.8448695652173912,0.1537391304347826,2.0,7.686956521739131e-05,0.0009224347826086957,0.7387246376811594,0.2612753623188406,1.5285679324549256e-18,2.523234146875356e-18,0.28,0.7200000000000001,0.852156862745098,0.14784313725490195,0.9121495327102803,0.6711111111111111
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau3__l10p0005__c0p0005__phl3,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau3__l10p0005__c0p0005__phl3,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,3.0,3.0,0.0005,0.0005,0.002,3.0,345,0.058740335125849974,0.11219149191913258,0.5235721008879167,-0.264684612766648,-0.10855821704172154,517.6130716252995,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.495304347826087,0.04127536231884058,2.0,2.063768115942029e-05,0.0002476521739130435,0.6332753623188405,0.3667246376811594,4.022547190670857e-18,0.0,0.37090909090909085,0.629090909090909,0.7214379084967321,0.278562091503268,0.7093457943925234,0.6184126984126982
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g2__tau5__l10p005__c0p0005__phl0,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g2__tau5__l10p005__c0p0005__phl0,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,2.0,5.0,0.0005,0.005,0.0075,0.0,345,0.0009882329540209511,0.001887523267447775,0.5235606739604306,-0.0053975475439614895,-0.002016245,102.8804725784304,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.0013913043478260877,0.00011594202898550731,0.04000000000000002,5.7971014492753656e-08,6.956521739130439e-07,0.008521739130434783,0.0,0.9914782608695654,0.9890909090909091,0.010909090909090906,0.0,0.009281045751633986,0.0,0.010841121495327104,0.0
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau5__l10p005__c0p0005__phl0,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau5__l10p005__c0p0005__phl0,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,3.0,5.0,0.0005,0.005,0.0075,0.0,345,0.0009882329540209511,0.001887523267447775,0.5235606739604306,-0.0053975475439614895,-0.002016245,102.8804725784304,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.0013913043478260877,0.00011594202898550731,0.04000000000000002,5.7971014492753656e-08,6.956521739130439e-07,0.008521739130434783,0.0,0.9914782608695654,0.9890909090909091,0.010909090909090906,0.0,0.009281045751633986,0.0,0.010841121495327104,0.0
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g5__tau5__l10p005__c0p0005__phl0,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g5__tau5__l10p005__c0p0005__phl0,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,5.0,5.0,0.0005,0.005,0.0075,0.0,345,0.0009882329540209511,0.001887523267447775,0.5235606739604306,-0.0053975475439614895,-0.002016245,102.8804725784304,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.0013913043478260877,0.00011594202898550731,0.04000000000000002,5.7971014492753656e-08,6.956521739130439e-07,0.008521739130434783,0.0,0.9914782608695654,0.9890909090909091,0.010909090909090906,0.0,0.009281045751633986,0.0,0.010841121495327104,0.0
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p5__tau1__l10p0025__c0p0005__phl3,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p5__tau1__l10p0025__c0p0005__phl3,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,0.5,1.0,0.0005,0.0025,0.003,3.0,345,0.06800763550763134,0.12995009965870707,0.5233365398429274,-0.35752969788977396,-0.11695075,664.9991267994365,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.34782608695652173,0.028985507246376812,2.0,1.4492753623188407e-05,0.00017391304347826088,0.8104927536231884,0.18950724637681157,2.614655673936057e-19,0.0,0.6990909090909091,0.3009090909090909,0.8513725490196078,0.14862745098039218,0.9166355140186916,0.4301587301587302
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p5__tau5__l10p0005__c0p0005__phl3,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p5__tau5__l10p0005__c0p0005__phl3,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,0.5,5.0,0.0005,0.0005,0.003,3.0,345,0.06800763550763134,0.12995009965870707,0.5233365398429274,-0.35752969788977396,-0.11695075,664.9991267994365,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.34782608695652173,0.028985507246376812,2.0,1.4492753623188407e-05,0.00017391304347826088,0.8104927536231884,0.18950724637681157,2.614655673936057e-19,0.0,0.6990909090909091,0.3009090909090909,0.8513725490196078,0.14862745098039218,0.9166355140186916,0.4301587301587302
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g2__tau1__l10p0005__c0p0005__phl3,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g2__tau1__l10p0005__c0p0005__phl3,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,2.0,1.0,0.0005,0.0005,0.001,3.0,345,0.06497757029461626,0.1241817801139499,0.5232456020117644,-0.27206707197068514,-0.11654600000000001,612.8392194270375,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.670608695652174,0.0558840579710145,2.0,2.794202898550725e-05,0.00033530434782608697,0.7416811594202899,0.2583188405797101,2.9163467132363712e-18,0.0,0.3836363636363636,0.6163636363636363,0.8724183006535947,0.12758169934640523,0.809158878504673,0.5653968253968255
