month_end,ff_mktrf,ff_smb,ff_hml,ff_rmw,ff_cma,ff_mom,ff_rf,smlo_vwret,smme_vwret,smhi_vwret,bilo_vwret,bime_vwret,bihi_vwret,crsp_ind12_buseq,crsp_ind12_chems,crsp_ind12_durbl,crsp_ind12_enrgy,crsp_ind12_hlth,crsp_ind12_manuf,crsp_ind12_money,crsp_ind12_nodur,crsp_ind12_other,crsp_ind12_shops,crsp_ind12_telcm,crsp_ind12_utils,crsp_tsy_10_20y,crsp_tsy_1_3y,crsp_tsy_20y_plus,crsp_tsy_7_10y,crsp_tsy_3_7y
1928-06-30,,,,,,,,-0.0917,-0.0852,-0.068,-0.0364,-0.0413,-0.0545,-0.055938402,-0.027473617,-0.04206567,-0.041302184,-0.03791902,-0.058261933,-0.119250251,-0.044318975,-0.039018971,-0.035703722,-0.052216136,-0.034612648,0.0029135965,,0.0042170169,0.0016156829,-0.00011145
1928-07-31,,,,,,,,-0.0041,-0.0038,-0.0097,0.0136,0.0012,0.0083,-0.000331296,0.020092292,0.0077948772,0.0104597472,0.0239343777,0.0212840852,-0.006338704,0.0163487505,-0.005530387,0.0539236342,-0.012762764,-0.012857538,-0.005981795,,-0.017794395,0.002903538,-0.009098598
1928-08-31,,,,,,,,0.0613,0.0501,0.0377,0.0876,0.054,0.0686,0.1117438856,0.0891497117,0.0939941547,0.024078229,0.145743512,0.0813427904,0.0244303243,0.0609483899,0.0461626767,0.1351142166,0.0455303323,0.0644797262,0.0039884796,,0.0046752822,-0.002037315,0.0048014878
1928-09-30,,,,,,,,0.0574,0.0447,0.0618,0.0301,0.0195,0.0424,0.0141696457,0.0460328397,0.0805790529,0.053369996,-0.011406687,0.0370541049,0.028868565,0.0111761364,0.0103828254,0.0014404276,0.0014647823,0.0392042859,0.0012553386,,-0.00365673,0.0015657056,0.0009900037
1928-10-31,,,,,,,,0.0684,0.0314,0.0167,0.0131,0.014,0.0221,0.0227609687,0.050528205,0.001514583,0.0204019743,0.0005273021,0.0394531378,0.0282320314,0.0088561691,-0.005527416,0.0596918449,0.0296554626,-0.01809202,0.0086319691,,0.013437916,0.0026972472,0.0052137062
1928-11-30,,,,,,,,0.0867,0.1115,0.1219,0.1117,0.1334,0.1295,0.2130173769,0.129503325,0.0450516768,0.1725815354,0.0505374764,0.1274616452,0.1084013356,0.0665990559,0.0951971717,0.1474239126,0.0667691825,0.2257319633,0.0038819889,,0.0019647925,0.0006685973,0.0021408211
1928-12-31,,,,,,,,0.0067,-0.0071,-0.0058,0.0097,0.0002,0.012,0.0751016046,0.0199866049,-0.011313035,-0.043536408,-0.004773641,0.0325690713,0.005833676,-0.002803728,0.0029197349,-0.012441245,-0.003795496,0.0151950789,0.0017769377,,-0.000045781,-0.000850292,-0.00139945
1929-01-31,,,,,,,,0.0025,0.019,0.0178,0.0653,0.0487,0.0257,0.1142288266,0.2132433405,0.0088734286,-0.074147648,0.0352059053,0.0685827558,0.0880434118,0.0340031222,0.0504793206,-0.03387975,0.1336409766,0.1284418683,-0.003893872,,-0.007478284,0.0018752916,-0.003312509
1929-02-28,,,,,,,,0.0074,0.0113,0.004,-0.0057,0.0075,0.0309,-0.014972695,-0.00844105,-0.002075999,-0.001369556,0.0041094265,0.0495348683,0.006084368,-0.031824322,0.0053352162,-0.020458202,-0.011492401,-0.020828988,-0.003814446,,-0.010972455,0.0010723988,0.0024509068
1929-03-31,,,,,,,,-0.0622,-0.0337,-0.0434,-0.0139,0.0232,-0.0012,0.0483383608,-0.037439431,-0.019697726,0.1090129012,-0.008975503,-0.010883283,-0.0053927,-0.047556937,-0.026245749,-0.051873473,0.0428955025,-0.032162342,-0.006100188,0.0020941758,-0.00587292,-0.007215656,0.0027447563
1929-04-30,,,,,,,,-0.0065,0.0279,0.0073,0.0233,0.0109,0.0281,0.0166403953,0.0348566894,-0.010188215,0.0090991398,0.013345466,0.0181435266,0.0092625047,0.0240361327,0.005779688,0.0319530939,0.0336593617,0.0486055004,0.0128716065,0.0053349598,0.0217154214,0.0128659419,0.004847692
1929-05-31,,,,,,,,-0.1023,-0.0944,-0.1289,-0.0585,-0.0416,-0.0622,-0.004444904,-0.077032039,-0.150405816,-0.056710457,-0.080203338,-0.111827838,-0.040399687,-0.043963551,-0.001064182,-0.08339383,-0.087525538,0.0464415538,-0.012332439,-0.002907848,-0.009799109,-0.004627725,-0.003973183
1929-06-30,,,,,,,,0.069,0.0954,0.0646,0.1247,0.0939,0.0744,0.1811843151,0.1943353019,0.0697559255,0.0116885113,0.0511099931,0.1074463263,0.0666321942,0.058825329,0.0584479101,0.0845924726,0.1368207917,0.2335684425,0.0063429972,0.0099169161,0.0082584153,0.0075767096,0.0102235342
1929-07-31,,,,,,,,-0.0006,-0.0051,0.0387,0.0365,0.0619,0.0506,0.094172087,0.0483326215,-0.029521679,0.0016383885,0.0259278053,0.0399562537,0.08493711,0.032352585,0.062568531,0.0103642517,0.1367918498,0.077686165,0.0067387115,0.0081991053,-0.002305799,0.0001739837,0.0061816543
1929-08-31,,,,,,,,-0.0112,-0.007,-0.0048,0.0722,0.1251,0.0722,0.1235866063,0.1091985288,0.0299997007,0.1140907249,0.0309259051,0.0903941228,0.0555303562,0.0479850182,0.0805593253,0.0809825286,0.1098291848,0.1099677291,0.0075347424,0.0028848135,0.0018030139,0.0020852464,0.0049593294
1929-09-30,,,,,,,,-0.0393,-0.0427,-0.0361,-0.0448,-0.0498,-0.0638,-0.084144026,-0.060574692,-0.083705322,-0.030508854,-0.069982024,-0.070008175,-0.058845067,-0.034981775,-0.065141357,-0.056083785,-0.013651234,0.0224161965,-0.00061866,0.002289366,0.000773722,-0.000741393,0.0026023847
1929-10-31,,,,,,,,-0.23,-0.1965,-0.2122,-0.2387,-0.1458,-0.1057,-0.29698985,-0.23895007,-0.289842964,-0.10240001,-0.1801644,-0.173728554,-0.303787181,-0.108116015,-0.102316027,-0.242672791,-0.153876224,-0.30915896,0.0099433684,0.0117562327,0.0303611793,0.0110280282,0.0112301098
1929-11-30,,,,,,,,-0.1461,-0.0958,-0.1097,-0.1425,-0.1046,-0.0779,-0.200780029,-0.167099414,-0.172409357,-0.064953239,-0.079047486,-0.137070618,-0.165392585,-0.084245006,-0.09445958,-0.128828485,-0.094689615,-0.154603514,0.0178835094,0.0131227303,0.0204555673,0.0223035776,0.0121769705
1929-12-31,,,,,,,,-0.0274,-0.0317,-0.0118,0.0324,0.0056,0.0141,0.1174135003,0.0445680413,0.0469918305,-0.012085207,0.0111171252,-0.000798827,-0.000167568,0.0075339786,-0.004134124,-0.060184172,0.0101194581,0.0773132519,0.0049890421,0.0060766535,-0.006118295,0.0065024024,0.0017959011
1930-01-31,,,,,,,,0.0603,0.0952,0.0847,0.0736,0.0335,0.0285,0.0971791129,0.1020811565,0.0612125267,-0.007801171,0.0207642119,0.0632414602,0.1032083479,0.0593568008,0.0444753092,0.0493468643,0.0119352632,0.0751934653,-0.000707899,-0.002775151,-0.005286496,-0.000125349,0.0064852895
1930-02-28,,,,,,,,0.0176,0.0107,0.0457,0.0347,0.0188,0.0121,0.0701904465,0.0157899715,0.0243798837,-0.045624902,0.0207049554,0.0270241499,0.0663742835,0.01951697,0.0331687615,-0.05306625,0.0706237999,0.0777464844,0.0077062703,0.0081574767,0.011172184,0.0062242688,-0.003305039
