norm,lambda,eta,date,regime,eq_idx,bd_idx
L2,3.0,8.0,1985-09-30,calm,0.5973561896137312,0.716031371650462
L2,3.0,8.0,1985-10-31,calm,0.618866388645532,0.7263856855684556
L2,3.0,8.0,1985-11-30,normal,0.6553559886528498,0.7394096809260442
L2,3.0,8.0,1985-12-31,normal,0.6806271709312924,0.7572047024299106
L2,3.0,8.0,1986-01-31,normal,0.6784267032876715,0.757177093654496
L2,3.0,8.0,1986-02-28,normal,0.7233310883515792,0.7830161198673107
L2,3.0,8.0,1986-03-31,normal,0.757178643299903,0.8026354653929989
L2,3.0,8.0,1986-04-30,normal,0.7425287509093365,0.8027151883426402
L2,3.0,8.0,1986-05-31,normal,0.7761868366593058,0.7834395517252107
L2,3.0,8.0,1986-06-30,normal,0.7831026613739401,0.7998738437676511
L2,3.0,8.0,1986-07-31,calm,0.7330757140573887,0.8027951818446982
L2,3.0,8.0,1986-08-31,calm,0.7818934250836125,0.819051887788941
L2,3.0,8.0,1986-09-30,calm,0.7115707123250175,0.8072829651787554
L2,3.0,8.0,1986-10-31,calm,0.7472410405631583,0.8152394836302989
L2,3.0,8.0,1986-11-30,calm,0.7603752963331369,0.8234649680799356
L2,3.0,8.0,1986-12-31,calm,0.7351399609984328,0.822521252971989
L2,3.0,8.0,1987-01-31,calm,0.8289195604031199,0.8306614684838529
L2,3.0,8.0,1987-02-28,calm,0.8559622321417112,0.8328499243448317
L2,3.0,8.0,1987-03-31,calm,0.8745280529568649,0.8251812523767093
L2,3.0,8.0,1987-04-30,calm,0.8606667833174986,0.7989235547036
L2,3.0,8.0,1987-05-31,calm,0.8625895129114299,0.7927621076704543
L2,3.0,8.0,1987-06-30,calm,0.8997800597606063,0.799867364148945
L2,3.0,8.0,1987-07-31,calm,0.9390320650876031,0.7955733220985405
L2,3.0,8.0,1987-08-31,calm,0.9674462363450889,0.7875768618864188
L2,3.0,8.0,1987-09-30,calm,0.9397134225340206,0.767261775843086
L2,3.0,8.0,1987-10-31,calm,0.7295653098527376,0.7899846449991604
L2,3.0,8.0,1987-11-30,calm,0.6647441616376317,0.7935472090887419
L2,3.0,8.0,1987-12-31,calm,0.7105862485124861,0.8012618721772541
L2,3.0,8.0,1988-01-31,calm,0.7372559715916567,0.8271042649958184
L2,3.0,8.0,1988-02-29,calm,0.7646944270863834,0.833117658001953
L2,3.0,8.0,1988-03-31,calm,0.735832565324862,0.8216331888610312
L2,3.0,8.0,1988-04-30,calm,0.7393829574525544,0.8134197390315754
L2,3.0,8.0,1988-05-31,calm,0.7379603846424158,0.8038035484965298
L2,3.0,8.0,1988-06-30,calm,0.7662655931557603,0.8192574766907961
L2,3.0,8.0,1988-07-31,calm,0.7582113755061001,0.8107823312879371
