window,path_id,asset,feature_group,model_family,lambda,n_months,good_share,bad_share,ann_return,ann_vol,sharpe,worst_month,cvar_10pct,max_drawdown
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam1,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1.0,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam1,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1.0,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam1,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1.0,32,0.8125,0.1875,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam1,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1.0,18,0.6666666666666666,0.33333333333333337,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam1,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1.0,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam1,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1.0,28,0.03571428571428571,0.9642857142857143,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam2,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,2.0,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam2,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,2.0,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam2,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,2.0,32,0.8125,0.1875,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam2,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,2.0,18,0.6111111111111112,0.38888888888888884,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam2,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,2.0,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam2,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,2.0,28,0.0,1.0,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam4,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,4.0,12,0.16666666666666666,0.8333333333333334,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam4,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,4.0,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam4,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,4.0,32,0.8125,0.1875,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam4,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,4.0,18,0.6111111111111112,0.38888888888888884,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam4,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,4.0,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam4,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,4.0,28,0.0,1.0,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l2_lam0,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.0,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l2_lam0,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.0,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l2_lam0,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.0,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l2_lam0,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.0,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l2_lam0,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.0,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l2_lam0,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.0,28,0.17857142857142858,0.8214285714285714,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l2_lam1em05,bond,return_downside_sharpe_vol,standard_l2_jump_model,1e-05,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l2_lam1em05,bond,return_downside_sharpe_vol,standard_l2_jump_model,1e-05,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
