path_id,asset,feature_group,model_family,lambda,label_source,source_frequency,n_months,first_date,last_date,good_share,bad_share,n_switches,mean_spell_length,mean_good_spell_length,mean_bad_spell_length,monthly_turnover,n_months_ret,n_good,n_bad,state_good_ann_return,state_bad_ann_return,state_good_ann_vol,state_bad_ann_vol,state_good_downside,state_bad_downside,state_good_sharpe,state_bad_sharpe,good_minus_bad_ann_return,good_minus_bad_ann_vol,good_minus_bad_downside,good_minus_bad_sharpe,good_max_drawdown,bad_max_drawdown,good_cvar_1pct,bad_cvar_1pct,n_features,median_centroid_separation,mean_centroid_separation,max_centroid_separation,min_centroid_separation,n_features_sep_ge_0p5,n_features_sep_ge_1p0,n_features_sep_ge_1p5,median_abs_gap,max_abs_gap,total_bcss,top5_centroid_features,state_balance_ok,not_constant,not_monthly_flipping,economic_order_ok,centroid_ok
bd_return_downside_sharpe_vol_l1med_lam0p5,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.5,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6205357142857143,0.3794642857142857,45,9.73913043478261,12.08695652173913,7.391304347826087,0.10067114093959731,448.0,278.0,170.0,0.0586041310753308,-0.03265792728381604,0.030166409831101335,0.04989031399893742,0.013739858579490276,0.03986413733863734,1.9426949180711057,-0.6545945428307307,0.09126205835914684,-0.019723904167836082,-0.026124278759147065,2.5972894609018367,-0.047879539797298754,-0.3933798935714099,-0.019917846496956552,-0.041528639854656206,11,1.7099715969843445,1.661797132714281,2.2551254523346946,0.8484990966329474,11,10,8,1.2716246415853165,1.4960798334659389,2503.99829696419,"sharpe_12m:2.26, sharpe_6m:1.98, log_downside_3m:1.94, log_downside_1m:1.89, ewm_return_6m:1.88",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam1,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1.0,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6205357142857143,0.3794642857142857,39,11.2,13.9,8.5,0.087248322147651,448.0,278.0,170.0,0.05687569289980664,-0.02983142250266477,0.030350391944800874,0.05012944709975171,0.01405378584427485,0.03968477297012954,1.873968975532444,-0.5950878022513143,0.0867071154024714,-0.019779055154950834,-0.02563098712585469,2.4690567777837584,-0.047879539797298754,-0.3706589882676907,-0.019917846496956552,-0.041528639854656206,11,1.6884453978515064,1.64580081862452,2.2224099982938577,0.8439358618871632,11,10,8,1.2709988839208264,1.486389044615866,2478.2654560560177,"sharpe_12m:2.22, sharpe_6m:1.96, log_downside_3m:1.91, ewm_return_6m:1.86, log_downside_1m:1.84",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam2,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,2.0,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6160714285714286,0.3839285714285714,33,13.176470588235293,16.235294117647058,10.117647058823529,0.0738255033557047,448.0,276.0,172.0,0.05324940550293049,-0.02300427394253245,0.030715268668875688,0.050445467443240244,0.014611414807404787,0.03915629742575199,1.7336460923387274,-0.4560226142897017,0.07625367944546294,-0.019730198774364556,-0.024544882618347204,2.189668706628429,-0.047879539797298754,-0.3186675873611914,-0.019917846496956552,-0.041528639854656206,11,1.6733678058784027,1.6436323664742445,2.1962152068509857,0.8544636023253755,11,10,8,1.2774740071567945,1.4784480086309602,2474.99668300712,"sharpe_12m:2.20, sharpe_6m:1.98, log_downside_3m:1.93, ewm_return_6m:1.84, log_downside_1m:1.84",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam4,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,4.0,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6026785714285714,0.3973214285714286,31,14.0,16.875,11.125,0.06935123042505593,448.0,270.0,178.0,0.049860366100433026,-0.01529324745181844,0.03211587611484366,0.04931941418230845,0.0162151302275923,0.037599759230776235,1.5525145856876696,-0.3100857482874226,0.06515361355225147,-0.017203538067464795,-0.021384629003183935,1.8626003339750923,-0.047879539797298754,-0.24456094263511052,-0.021150883639594154,-0.041528639854656206,11,1.6876724731120996,1.6281726536671455,2.278239529811606,0.8288019991911943,11,10,8,1.2671926830475384,1.502931266245505,2444.6914428296177,"sharpe_12m:2.28, sharpe_6m:1.94, log_downside_3m:1.87, ewm_return_6m:1.86, log_downside_1m:1.77",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.0,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6674107142857143,0.3325892857142857,43,10.181818181818182,13.590909090909092,6.7727272727272725,0.09619686800894854,448.0,299.0,149.0,0.05776632942382906,-0.0438391389062527,0.03139925073919177,0.049768705924660595,0.014541906040479875,0.04172526280408658,1.8397359192946139,-0.8808575206398972,0.10160546833008176,-0.018369455185468828,-0.027183356763606704,2.720593439934511,-0.047879539797298754,-0.4423080085649934,-0.021150883639594154,-0.041528639854656206,11,1.7812736305717667,1.6883884083000482,2.1406320158684977,0.8788229483988277,11,10,8,1.2947072090505807,1.4616478255853127,2532.6329971880414,"sharpe_12m:2.14, sharpe_6m:2.00, log_downside_3m:1.99, log_downside_1m:1.99, ewm_return_6m:1.91",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam1em05,bond,return_downside_sharpe_vol,standard_l2_jump_model,1e-05,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6674107142857143,0.3325892857142857,43,10.181818181818182,13.590909090909092,6.7727272727272725,0.09619686800894854,448.0,299.0,149.0,0.05776632942382906,-0.0438391389062527,0.03139925073919177,0.049768705924660595,0.014541906040479875,0.04172526280408658,1.8397359192946139,-0.8808575206398972,0.10160546833008176,-0.018369455185468828,-0.027183356763606704,2.720593439934511,-0.047879539797298754,-0.4423080085649934,-0.021150883639594154,-0.041528639854656206,11,1.7812736305717667,1.6883884083000482,2.1406320158684977,0.8788229483988277,11,10,8,1.2947072090505807,1.4616478255853127,2532.6329971880414,"sharpe_12m:2.14, sharpe_6m:2.00, log_downside_3m:1.99, log_downside_1m:1.99, ewm_return_6m:1.91",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0p0001,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.0001,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6674107142857143,0.3325892857142857,43,10.181818181818182,13.590909090909092,6.7727272727272725,0.09619686800894854,448.0,299.0,149.0,0.05776632942382906,-0.0438391389062527,0.03139925073919177,0.049768705924660595,0.014541906040479875,0.04172526280408658,1.8397359192946139,-0.8808575206398972,0.10160546833008176,-0.018369455185468828,-0.027183356763606704,2.720593439934511,-0.047879539797298754,-0.4423080085649934,-0.021150883639594154,-0.041528639854656206,11,1.7812736305717667,1.6883884083000482,2.1406320158684977,0.8788229483988277,11,10,8,1.2947072090505807,1.4616478255853127,2532.6329971880414,"sharpe_12m:2.14, sharpe_6m:2.00, log_downside_3m:1.99, log_downside_1m:1.99, ewm_return_6m:1.91",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0p001,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.001,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6674107142857143,0.3325892857142857,43,10.181818181818182,13.590909090909092,6.7727272727272725,0.09619686800894854,448.0,299.0,149.0,0.05776632942382906,-0.0438391389062527,0.03139925073919177,0.049768705924660595,0.014541906040479875,0.04172526280408658,1.8397359192946139,-0.8808575206398972,0.10160546833008176,-0.018369455185468828,-0.027183356763606704,2.720593439934511,-0.047879539797298754,-0.4423080085649934,-0.021150883639594154,-0.041528639854656206,11,1.7812736305717667,1.6883884083000482,2.1406320158684977,0.8788229483988277,11,10,8,1.2947072090505807,1.4616478255853127,2532.6329971880414,"sharpe_12m:2.14, sharpe_6m:2.00, log_downside_3m:1.99, log_downside_1m:1.99, ewm_return_6m:1.91",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0p00390625,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.00390625,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6674107142857143,0.3325892857142857,43,10.181818181818182,13.590909090909092,6.7727272727272725,0.09619686800894854,448.0,299.0,149.0,0.05776632942382906,-0.0438391389062527,0.03139925073919177,0.049768705924660595,0.014541906040479875,0.04172526280408658,1.8397359192946139,-0.8808575206398972,0.10160546833008176,-0.018369455185468828,-0.027183356763606704,2.720593439934511,-0.047879539797298754,-0.4423080085649934,-0.021150883639594154,-0.041528639854656206,11,1.7812736305717667,1.6883884083000482,2.1406320158684977,0.8788229483988277,11,10,8,1.2947072090505807,1.4616478255853127,2532.6329971880414,"sharpe_12m:2.14, sharpe_6m:2.00, log_downside_3m:1.99, log_downside_1m:1.99, ewm_return_6m:1.91",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0p0078125,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.0078125,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6674107142857143,0.3325892857142857,43,10.181818181818182,13.590909090909092,6.7727272727272725,0.09619686800894854,448.0,299.0,149.0,0.05776632942382906,-0.0438391389062527,0.03139925073919177,0.049768705924660595,0.014541906040479875,0.04172526280408658,1.8397359192946139,-0.8808575206398972,0.10160546833008176,-0.018369455185468828,-0.027183356763606704,2.720593439934511,-0.047879539797298754,-0.4423080085649934,-0.021150883639594154,-0.041528639854656206,11,1.7812736305717667,1.6883884083000482,2.1406320158684977,0.8788229483988277,11,10,8,1.2947072090505807,1.4616478255853127,2532.6329971880414,"sharpe_12m:2.14, sharpe_6m:2.00, log_downside_3m:1.99, log_downside_1m:1.99, ewm_return_6m:1.91",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0p015625,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.015625,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6674107142857143,0.3325892857142857,43,10.181818181818182,13.590909090909092,6.7727272727272725,0.09619686800894854,448.0,299.0,149.0,0.05776632942382906,-0.0438391389062527,0.03139925073919177,0.049768705924660595,0.014541906040479875,0.04172526280408658,1.8397359192946139,-0.8808575206398972,0.10160546833008176,-0.018369455185468828,-0.027183356763606704,2.720593439934511,-0.047879539797298754,-0.4423080085649934,-0.021150883639594154,-0.041528639854656206,11,1.7812736305717667,1.6883884083000482,2.1406320158684977,0.8788229483988277,11,10,8,1.2947072090505807,1.4616478255853127,2532.6329971880414,"sharpe_12m:2.14, sharpe_6m:2.00, log_downside_3m:1.99, log_downside_1m:1.99, ewm_return_6m:1.91",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0p03125,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.03125,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6674107142857143,0.3325892857142857,43,10.181818181818182,13.590909090909092,6.7727272727272725,0.09619686800894854,448.0,299.0,149.0,0.05776632942382906,-0.0438391389062527,0.03139925073919177,0.049768705924660595,0.014541906040479875,0.04172526280408658,1.8397359192946139,-0.8808575206398972,0.10160546833008176,-0.018369455185468828,-0.027183356763606704,2.720593439934511,-0.047879539797298754,-0.4423080085649934,-0.021150883639594154,-0.041528639854656206,11,1.7812736305717667,1.6883884083000482,2.1406320158684977,0.8788229483988277,11,10,8,1.2947072090505807,1.4616478255853127,2532.6329971880414,"sharpe_12m:2.14, sharpe_6m:2.00, log_downside_3m:1.99, log_downside_1m:1.99, ewm_return_6m:1.91",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0p0625,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.0625,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6674107142857143,0.3325892857142857,43,10.181818181818182,13.590909090909092,6.7727272727272725,0.09619686800894854,448.0,299.0,149.0,0.05776632942382906,-0.0438391389062527,0.03139925073919177,0.049768705924660595,0.014541906040479875,0.04172526280408658,1.8397359192946139,-0.8808575206398972,0.10160546833008176,-0.018369455185468828,-0.027183356763606704,2.720593439934511,-0.047879539797298754,-0.4423080085649934,-0.021150883639594154,-0.041528639854656206,11,1.7759600552708383,1.687109283707592,2.143602344864258,0.8781530113061068,11,10,8,1.2918835763472254,1.4624444990796763,2532.498583679008,"sharpe_12m:2.14, log_downside_3m:2.00, log_downside_1m:1.99, sharpe_6m:1.99, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0p125,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.125,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6651785714285714,0.3348214285714286,43,10.181818181818182,13.545454545454545,6.818181818181818,0.09619686800894854,448.0,298.0,150.0,0.05763575316222322,-0.042902357610995236,0.03144528987979492,0.049711869083226355,0.01456628477685764,0.04158594601179935,1.832889866258059,-0.8630204094553192,0.10053811077321845,-0.018266579203431436,-0.027019661234941712,2.6959102757133784,-0.047879539797298754,-0.4378149604621384,-0.021150883639594154,-0.041528639854656206,11,1.7759600552708383,1.687109283707592,2.143602344864258,0.8781530113061068,11,10,8,1.2918835763472254,1.4624444990796763,2532.498583679008,"sharpe_12m:2.14, log_downside_3m:2.00, log_downside_1m:1.99, sharpe_6m:1.99, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0p25,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.25,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6629464285714286,0.3370535714285714,43,10.181818181818182,13.5,6.863636363636363,0.09619686800894854,448.0,297.0,151.0,0.05738099301276283,-0.041735457775479,0.031472680549513514,0.04971849712623689,0.014590786534757929,0.04144801546263725,1.8232000583010326,-0.8394352240678413,0.09911645078824183,-0.018245816576723375,-0.026857228927879326,2.662635282368874,-0.047879539797298754,-0.4315700442500282,-0.021150883639594154,-0.041528639854656206,11,1.7523013140547579,1.6828263736299827,2.191243954701189,0.8789226123784446,11,10,8,1.2841122658358755,1.4775046869919621,2530.1924904483208,"sharpe_12m:2.19, sharpe_6m:2.00, log_downside_3m:1.98, log_downside_1m:1.96, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam0p5,bond,return_downside_sharpe_vol,standard_l2_jump_model,0.5,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6584821428571429,0.3415178571428571,41,10.666666666666666,14.047619047619047,7.285714285714286,0.09172259507829977,448.0,295.0,153.0,0.05563601756133885,-0.03707532274445572,0.03211393206635572,0.049375828343658626,0.015334119931345891,0.04068630064122864,1.7324573473712406,-0.7508800153469695,0.09271134030579457,-0.01726189627730291,-0.025352180709882752,2.48333736271821,-0.047879539797298754,-0.3959818737291414,-0.021150883639594154,-0.041528639854656206,11,1.735831746916008,1.6829620222492692,2.173390333405785,0.8962300023489062,11,10,8,1.2956219577417447,1.4723142717067108,2526.378838018362,"sharpe_12m:2.17, log_downside_3m:2.01, sharpe_6m:1.97, log_downside_1m:1.96, ewm_return_6m:1.88",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam1,bond,return_downside_sharpe_vol,standard_l2_jump_model,1.0,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6540178571428571,0.3459821428571429,37,11.789473684210526,15.421052631578947,8.157894736842104,0.08277404921700224,448.0,293.0,155.0,0.05154165321256027,-0.028139378003786596,0.031377814952494705,0.05127025458052254,0.015516412430060883,0.04032887984520329,1.6426144806639071,-0.5488441248051981,0.07968103121634687,-0.019892439628027836,-0.024812467415142404,2.191458605469105,-0.047879539797298754,-0.3269987410051889,-0.021150883639594154,-0.041528639854656206,11,1.7300217312380763,1.681080192900941,2.1649933235858976,0.9016123740245148,11,10,8,1.296423398754999,1.4697983481101589,2522.4700923908267,"sharpe_12m:2.16, log_downside_3m:2.02, sharpe_6m:1.97, log_downside_1m:1.96, ewm_return_6m:1.88",True,True,True,True,True
bd_return_downside_sharpe_vol_l2_lam2,bond,return_downside_sharpe_vol,standard_l2_jump_model,2.0,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6629464285714286,0.3370535714285714,29,14.933333333333334,19.8,10.066666666666666,0.06487695749440715,448.0,297.0,151.0,0.04844523546427776,-0.024159828690048048,0.031763027991893136,0.05185445124158461,0.016192441042632014,0.040261177097706026,1.525208348418243,-0.4659161964223643,0.0726050641543258,-0.020091423249691473,-0.02406873605507401,1.9911245448406074,-0.047879539797298754,-0.2898488387499525,-0.021150883639594154,-0.041528639854656206,11,1.683579947485577,1.6645296303011357,2.1673489226681064,0.914239316192958,11,10,8,1.3002887217751429,1.4705967792216508,2496.7087197605774,"sharpe_12m:2.17, log_downside_3m:2.00, sharpe_6m:1.96, log_downside_1m:1.89, ewm_return_6m:1.85",True,True,True,True,True
