date,regime,target_next_regime,eq_tot_next,bd_tot_next,rf_tot_next,pred_RF,p_RF_calm,p_RF_normal,p_RF_stressed,pred_Logit,p_Logit_calm,p_Logit_normal,p_Logit_stressed
2008-06-30,normal,normal,-0.009859,-0.0008230393770666,0.0015,normal,0.14615011376957546,0.7420234002317742,0.11182648599865029,stressed,0.13075472025376608,0.012544204439894556,0.8567010753063393
2008-07-31,normal,normal,0.012191,0.0094906561803869,0.0013,normal,0.1491174452679855,0.7370918524436888,0.11379070228832568,stressed,0.1159582198478467,0.010009490199954328,0.874032289952199
2008-08-31,normal,normal,-0.090792,-0.013431628540614,0.0015,normal,0.08874936573698329,0.7993592583780645,0.11189137588495231,normal,0.1407250461234581,0.5658521655305944,0.29342278834594754
2008-09-30,normal,stressed,-0.169425,-0.0236042087699489,0.0008,normal,0.08101849720714496,0.7389871578157529,0.17999434497710212,normal,0.12947794786501893,0.5864800626219956,0.2840419895129854
2008-10-31,stressed,normal,-0.074849,0.0325498486310502,0.0003,stressed,0.02983279035249231,0.23398940478796706,0.7361778048595409,stressed,0.04361487023073448,0.17927366182163618,0.7771114679476293
2008-11-30,normal,normal,0.007822,0.0373091739192466,0.0,normal,0.09410399062838176,0.46752105640842334,0.43837495296319484,normal,0.12058371636126343,0.5110226542276157,0.36839362941112086
2008-12-31,normal,normal,-0.085657,-0.0088233271439377,0.0,normal,0.08674955594574112,0.4851526307145882,0.42809781333967084,normal,0.17687743943560275,0.42995560863304066,0.39316695193135653
2009-01-31,normal,normal,-0.109931,-0.0037744489235188,0.0001,normal,0.09843034341867628,0.4766945032524812,0.4248751533288427,stressed,0.17277673288883155,0.39942771095880863,0.42779555615235976
2009-02-28,normal,normal,0.085405,0.0139013671534931,0.0002,normal,0.08293924095919629,0.5432872524453144,0.3737735065954895,normal,0.14453826247900614,0.521609042916323,0.3338526946046709
2009-03-31,normal,normal,0.093925,0.0047809093344506,0.0001,normal,0.07980070668860906,0.5858615177206423,0.3343377755907487,normal,0.13608126207211318,0.540938999841263,0.3229797380866238
