date,level,diff_1,diff_12,pct_change_1,pct_change_12,ann_2q,ann_4q,zscore,variance_proxy,dev_from_36_mean
1969-07-01,35.01946,0.04543000000000319,-2.28951,0.0012989638311629026,-0.061366207643898996,-0.06394094204892675,-0.061366207643898996,-0.9900245043121997,0.9801485191386167,
1969-10-01,35.46954,0.4500799999999998,-1.5157799999999995,0.012852282702246143,-0.04098328742322632,0.028536612924961124,-0.04098328742322632,-0.9746343042720533,0.9499120270638695,
1970-01-01,35.38879,-0.08075000000000188,-0.8069800000000029,-0.0022766012753479004,-0.022294870367449038,0.021204070822385512,-0.022294870367449038,-0.9773954992890321,0.9553019620304564,
1970-04-01,34.67329,-0.7154999999999987,-0.30073999999999756,-0.02021826685795136,-0.008598951850844694,-0.04439372802088937,-0.008598951850844694,-1.0018615678295688,1.0037266010939216,
1970-07-01,34.86717,0.19388000000000005,-0.1522900000000007,0.005591623984917415,-0.004348724966061757,-0.02926213300502578,-0.004348724966061757,-0.9952319642395768,0.9904866626441663,
1970-10-01,35.74822,0.8810500000000019,0.27868000000000137,0.02526875568048692,0.007856882271380039,0.06296444982310745,0.007856882271380039,-0.9651050184846643,0.9314276967042843,
1971-01-01,34.50345,-1.2447700000000026,-0.8853399999999993,-0.03482047497749541,-0.02501752673657387,-0.020754360686962903,-0.02501752673657387,-1.007669138872091,1.0153970934352217,
1971-04-01,34.36089,-0.14256000000000313,-0.3124000000000038,-0.004131760736969858,-0.009009817066681691,-0.07611064242680854,-0.009009817066681691,-1.0125438876228094,1.0252451243623126,
1971-07-01,35.00694,0.6460500000000025,0.13976999999999862,0.01880189948514155,0.0040086419402549645,0.029397847304046376,0.0040086419402549645,-0.9904526177687022,0.9809963880448749,
1971-10-01,35.63237,0.6254300000000015,-0.11585000000000178,0.017865886021457555,-0.0032407207967278806,0.07537666987263503,-0.0032407207967278806,-0.9690664357319337,0.9390897568621941,
1972-01-01,34.72622,-0.9061500000000038,0.22276999999999703,-0.025430528477336845,0.006456455803694805,-0.015973658695883186,0.006456455803694805,-1.0000516600617833,1.0001033227923284,
1972-04-01,33.67383,-1.0523899999999955,-0.6870599999999953,-0.030305342764055387,-0.01999540756947782,-0.10690920856720632,-0.01999540756947782,-1.0360374684075209,1.0733736359442647,
1972-07-01,33.62447,-0.04936000000000007,-1.3824699999999979,-0.001465826726570807,-0.03949131229407643,-0.06244690773635553,-0.03949131229407643,-1.0377253022903452,1.0768738030135883,
1972-10-01,33.74758,0.12310999999999694,-1.8847900000000024,0.0036613216505716473,-0.05289544310412142,0.004385052782664989,-0.05289544310412142,-1.0335156339492895,1.0681545656176017,
1973-01-01,33.29287,-0.4547099999999986,-1.4333499999999972,-0.013473855014196512,-0.041275727677818064,-0.019626474570650476,-0.041275727677818064,-1.0490641539018644,1.1005355990018346,
1973-04-01,32.34466,-0.9482100000000031,-1.3291700000000048,-0.0284808729316518,-0.039471898503971925,-0.08141381514246315,-0.039471898503971925,-1.0814875932461303,1.1696154143453075,
1973-07-01,32.12455,-0.22010999999999825,-1.499920000000003,-0.006805141868858722,-0.044607989360129774,-0.06895293444939854,-0.044607989360129774,-1.0890141150441144,1.1859517427653157,
