realtime_start,realtime_end,date,value
2026-03-13,2026-03-13,2006-07-01,61.3328
2026-03-13,2026-03-13,2006-10-01,61.82689
2026-03-13,2026-03-13,2007-01-01,62.25297
2026-03-13,2026-03-13,2007-04-01,61.57219
2026-03-13,2026-03-13,2007-07-01,61.84826
2026-03-13,2026-03-13,2007-10-01,62.71924
2026-03-13,2026-03-13,2008-01-01,64.17278
2026-03-13,2026-03-13,2008-04-01,63.85172
2026-03-13,2026-03-13,2008-07-01,67.28455
2026-03-13,2026-03-13,2008-10-01,73.24515
2026-03-13,2026-03-13,2009-01-01,77.10496
2026-03-13,2026-03-13,2009-04-01,80.28013
2026-03-13,2026-03-13,2009-07-01,82.42733
2026-03-13,2026-03-13,2009-10-01,84.02935
2026-03-13,2026-03-13,2010-01-01,86.51175
2026-03-13,2026-03-13,2010-04-01,88.12832
2026-03-13,2026-03-13,2010-07-01,89.56528
2026-03-13,2026-03-13,2010-10-01,91.61134
2026-03-13,2026-03-13,2011-01-01,92.95614
2026-03-13,2026-03-13,2011-04-01,92.1938
2026-03-13,2026-03-13,2011-07-01,94.52098
2026-03-13,2026-03-13,2011-10-01,96.09072
2026-03-13,2026-03-13,2012-01-01,97.12308
2026-03-13,2026-03-13,2012-04-01,97.82763
2026-03-13,2026-03-13,2012-07-01,98.44787
2026-03-13,2026-03-13,2012-10-01,100.07497
2026-03-13,2026-03-13,2013-01-01,100.73997
2026-03-13,2026-03-13,2013-04-01,100.05758
2026-03-13,2026-03-13,2013-07-01,98.72797
2026-03-13,2026-03-13,2013-10-01,99.79118
2026-03-13,2026-03-13,2014-01-01,102.34617
2026-03-13,2026-03-13,2014-04-01,100.6513
2026-03-13,2026-03-13,2014-07-01,100.11145
2026-03-13,2026-03-13,2014-10-01,101.2805
2026-03-13,2026-03-13,2015-01-01,100.49009
2026-03-13,2026-03-13,2015-04-01,99.30094
2026-03-13,2026-03-13,2015-07-01,98.63595
2026-03-13,2026-03-13,2015-10-01,102.64192
2026-03-13,2026-03-13,2016-01-01,103.98904
2026-03-13,2026-03-13,2016-04-01,103.58005
2026-03-13,2026-03-13,2016-07-01,103.60355
2026-03-13,2026-03-13,2016-10-01,104.64891
2026-03-13,2026-03-13,2017-01-01,102.93741
2026-03-13,2026-03-13,2017-04-01,102.08817
2026-03-13,2026-03-13,2017-07-01,102.80463
2026-03-13,2026-03-13,2017-10-01,102.27408
2026-03-13,2026-03-13,2018-01-01,103.74395
2026-03-13,2026-03-13,2018-04-01,102.98411
2026-03-13,2026-03-13,2018-07-01,103.4489
2026-03-13,2026-03-13,2018-10-01,105.04941
2026-03-13,2026-03-13,2019-01-01,104.34017
2026-03-13,2026-03-13,2019-04-01,102.92245
2026-03-13,2026-03-13,2019-07-01,104.61492
2026-03-13,2026-03-13,2019-10-01,105.78193
2026-03-13,2026-03-13,2020-01-01,106.77007
2026-03-13,2026-03-13,2020-04-01,132.66287
2026-03-13,2026-03-13,2020-07-01,124.14692
2026-03-13,2026-03-13,2020-10-01,125.62864
